,Model,Image,y_label,Attractive,GenderSelf,LL,LL_F,LL_M,dist_centre_F,dist_centre_H,dist_centre
50,AM1586,AM1586.jpg,AM1586,3.466666666666667,M,-556.0002561249908,,-545.1117057361913,267.5058288574219,243.2083282470703,250.22171020507812
51,AM1587,AM1587.jpg,AM1587,4.5,M,-521.3329212586323,,-515.9773788716102,227.0063934326172,200.2433319091797,207.53485107421875
52,AM1588,AM1588.jpg,AM1588,3.9166666666666665,M,-497.9266482867059,,-489.5873937851009,187.91775512695312,161.5877685546875,167.23611450195312
53,AM1589,AM1589.jpg,AM1589,2.6666666666666665,M,-539.4881801780826,,-525.7463504800577,276.99078369140625,241.1357421875,254.34475708007812
54,AM159,AM159.jpg,AM159,2.1333333333333333,M,-504.7521082436468,,-493.5895347089697,238.0905303955078,184.8301544189453,206.59312438964844
55,AM1590,AM1590.jpg,AM1590,3.9166666666666665,M,-516.0616248672355,,-501.7978097295211,219.74948120117188,184.7452850341797,196.12850952148438
56,AM1591,AM1591.jpg,AM1591,4.35,M,-513.3381921349538,,-505.70329421170777,245.33624267578125,211.67294311523438,223.05543518066406
57,AM1592,AM1592.jpg,AM1592,3.8,M,-543.3054265577919,,-554.6279093908979,290.0157470703125,266.8439025878906,273.7032470703125
58,AM1593,AM1593.jpg,AM1593,3.433333333333333,M,-528.5308820308428,,-519.5242672187172,212.64407348632812,186.66201782226562,193.09629821777344
59,AM1594,AM1594.jpg,AM1594,3.5,M,-505.05169657057894,,-494.19102329109273,203.5774688720703,180.99671936035156,185.3587646484375
60,AM1595,AM1595.jpg,AM1595,3.933333333333333,M,-510.7561325382849,,-501.0422802337256,231.3435821533203,183.5640106201172,202.1481475830078
61,AM1596,AM1596.jpg,AM1596,3.933333333333333,M,-517.8788458123321,,-515.5755174683214,229.8048553466797,214.36375427246094,215.95623779296875
62,AF473,AF473.jpg,AF473,2.65,F,-484.39724717222276,-482.970522535546,,126.02787017822266,142.4244384765625,123.85448455810547
63,AF474,AF474.jpg,AF474,2.183333333333333,F,-512.2178105117148,-510.31155498975977,,240.3775634765625,256.4260559082031,242.94837951660156
64,AF475,AF475.jpg,AF475,1.85,F,-518.5733848292078,-514.0575629485602,,206.7911834716797,238.70135498046875,217.08644104003906
65,AF476,AF476.jpg,AF476,3.966666666666667,F,-515.930381784474,-508.3867021467572,,232.51161193847656,268.413330078125,245.58042907714844
66,AF477,AF477.jpg,AF477,3.25,F,-500.61586305453295,-496.48799370655945,,172.28091430664062,198.24215698242188,178.1752166748047
67,AF478,AF478.jpg,AF478,2.933333333333333,F,-510.45281060036774,-503.3699954039794,,200.55136108398438,261.40863037109375,227.0103759765625
68,AF479,AF479.jpg,AF479,2.55,F,-521.6512120553056,-516.0119653561425,,262.39508056640625,289.95343017578125,271.5108642578125
69,AF48,AF48.jpg,AF48,2.3,F,-496.83387150656625,-496.58807909123686,,166.4811553955078,185.7146453857422,168.40138244628906
70,AF480,AF480.jpg,AF480,3.1166666666666667,F,-552.5575997685529,-546.9567014242604,,286.1192321777344,323.8865661621094,301.0638122558594
71,AF481,AF481.jpg,AF481,2.283333333333333,F,-502.41159833102336,-495.5806009862641,,196.09478759765625,215.700439453125,199.3639678955078
72,AF482,AF482.jpg,AF482,2.7333333333333334,F,-503.67624615750157,-499.2471369307341,,206.39266967773438,213.22189331054688,203.19158935546875
73,AF483,AF483.jpg,AF483,2.7666666666666666,F,-501.6897700104298,-495.83522930534775,,165.7795867919922,199.83900451660156,175.96963500976562
74,AF484,AF484.jpg,AF484,3.6166666666666663,F,-527.8759421254456,-524.8545139961982,,243.39727783203125,279.0185546875,256.52069091796875
75,AF485,AF485.jpg,AF485,2.55,F,-502.6330054194344,-498.459361894464,,197.60997009277344,218.2926483154297,201.51119995117188
76,AF486,AF486.jpg,AF486,2.4166666666666665,F,-499.3306366101426,-495.5557061618656,,159.11361694335938,201.91326904296875,174.06642150878906
77,AF487,AF487.jpg,AF487,2.583333333333333,F,-536.4803068848614,-529.3519678950329,,247.66258239746094,250.71002197265625,243.62306213378906
78,AF488,AF488.jpg,AF488,3.3,F,-503.11488090278885,-502.6990133998267,,174.6003875732422,186.820556640625,173.05975341796875
79,AF489,AF489.jpg,AF489,2.3,F,-520.9079074485862,-517.084592242853,,215.79959106445312,246.30386352539062,225.5517578125
80,AF49,AF49.jpg,AF49,2.1333333333333333,F,-501.5804123563254,-498.7855593082751,,180.86090087890625,193.8527374267578,180.00234985351562
81,AF490,AF490.jpg,AF490,2.3,F,-499.92686348025745,-496.4740487280831,,230.27566528320312,256.7423095703125,238.17599487304688
82,AM86,AM86.jpg,AM86,3.2666666666666666,M,-522.3191898187708,,-507.6805037801961,245.7430419921875,225.7362518310547,230.06375122070312
83,AM860,AM860.jpg,AM860,2.833333333333333,M,-494.37877171043084,,-489.71551303090257,184.10772705078125,181.80865478515625,175.30284118652344
84,AM861,AM861.jpg,AM861,2.6,M,-518.0306944997226,,-511.9221680181786,226.64678955078125,194.7337646484375,204.697509765625
85,AM862,AM862.jpg,AM862,2.4833333333333334,M,-524.0971171721892,,-518.1546473939009,234.80239868164062,207.34669494628906,215.21728515625
86,AM863,AM863.jpg,AM863,3.533333333333333,M,-505.8584692363109,,-498.70306364168096,221.59228515625,197.3079833984375,203.15721130371094
87,AM864,AM864.jpg,AM864,2.85,M,-493.4420433252336,,-480.9064428323625,187.79238891601562,153.16561889648438,163.15304565429688
88,AM865,AM865.jpg,AM865,2.716666666666667,M,-496.29353739854935,,-487.0060723206883,192.59222412109375,173.35693359375,175.57981872558594
89,AM866,AM866.jpg,AM866,2.95,M,-497.3557142100776,,-484.44581124490134,232.67538452148438,193.57809448242188,207.5120086669922
90,AM867,AM867.jpg,AM867,3.5166666666666666,M,-516.488776962147,,-505.1709145391021,267.3018493652344,223.96754455566406,240.96046447753906
91,AM868,AM868.jpg,AM868,1.8166666666666669,M,-525.2404259350693,,-520.1840717531429,255.39532470703125,239.2325439453125,241.837890625
92,AM869,AM869.jpg,AM869,2.15,M,-516.0525097893758,,-513.9094392428971,196.40234375,177.73854064941406,179.82911682128906
93,AM87,AM87.jpg,AM87,3.633333333333333,M,-542.2158411804546,,-533.3399711254233,296.0782470703125,267.9692077636719,277.4725036621094
94,AM870,AM870.jpg,AM870,1.6,M,-504.89945945878196,,-498.271969267832,234.47142028808594,198.47483825683594,210.80947875976562
95,AM871,AM871.jpg,AM871,2.3,M,-502.7528010141144,,-493.0834283907552,191.57366943359375,149.2312774658203,163.5276641845703
96,AM872,AM872.jpg,AM872,2.1,M,-534.8234205458245,,-529.1836029943076,327.0877685546875,288.7552490234375,304.0379638671875
97,AM873,AM873.jpg,AM873,2.35,M,-530.3841317058159,,-518.4756396569785,233.6707305908203,204.82569885253906,213.38665771484375
98,AM874,AM874.jpg,AM874,2.3,M,-491.7046689444118,,-478.3329747515438,190.83657836914062,138.86888122558594,158.45399475097656
99,AM875,AM875.jpg,AM875,2.9166666666666665,M,-492.53572394775034,,-485.3130006409446,175.27951049804688,156.01185607910156,157.44003295898438
100,AM876,AM876.jpg,AM876,2.65,M,-508.10276971506323,,-503.72264966735685,222.0187225341797,210.4010467529297,209.84881591796875
101,CF667,CF667.jpg,CF667,3.95,F,-581.3969076990924,-563.8832579747441,,320.2280578613281,343.8654479980469,328.101806640625
102,CF668,CF668.jpg,CF668,4.6,F,-600.6331601853104,-591.9953557830567,,357.463134765625,383.6463928222656,367.0671691894531
103,CF669,CF669.jpg,CF669,4.15,F,-663.5095734688748,-656.7665609190447,,370.807373046875,362.2147216796875,362.7738342285156
104,CF67,CF67.jpg,CF67,2.716666666666667,F,-566.0589631054582,-564.3085121720186,,313.0864562988281,308.272216796875,306.2409362792969
105,CF670,CF670.jpg,CF670,4.516666666666667,F,-658.1536759829498,-661.7058171928729,,335.02813720703125,330.135498046875,328.4398193359375
106,CF671,CF671.jpg,CF671,3.8,F,-629.1925653031592,-612.3099718624144,,332.34027099609375,330.8774108886719,327.44622802734375
107,CF672,CF672.jpg,CF672,3.25,F,-625.7531959907124,-622.8736875230998,,299.06097412109375,303.53326416015625,296.7170715332031
108,CF673,CF673.jpg,CF673,4.183333333333334,F,-588.0430463780665,-577.5110533320741,,283.4251403808594,303.7888488769531,289.0757751464844
109,CF674,CF674.jpg,CF674,3.966666666666667,F,-574.0462051886171,-573.3475891274645,,305.35577392578125,330.0245666503906,313.5845031738281
110,CF675,CF675.jpg,CF675,3.95,F,-574.2459710659749,-570.4607928336111,,289.5162048339844,302.36181640625,291.33697509765625
111,CF676,CF676.jpg,CF676,3.4833333333333334,F,-inf,-inf,,397.9141540527344,395.41802978515625,393.194091796875
112,CF677,CF677.jpg,CF677,3.8666666666666663,F,-620.0144213136739,-602.3886630873728,,331.0705871582031,358.57269287109375,341.096923828125
113,CF678,CF678.jpg,CF678,3.9,F,-627.1385423378158,-611.5728602043747,,340.8979797363281,352.80218505859375,342.9234313964844
114,CF679,CF679.jpg,CF679,3.933333333333333,F,-569.5165737898479,-569.481808602236,,280.593994140625,304.765380859375,288.2074279785156
115,CF68,CF68.jpg,CF68,3.6,F,-530.1895518628322,-525.1873578101092,,275.266845703125,296.3661804199219,281.1733093261719
116,CF680,CF680.jpg,CF680,3.9166666666666665,F,-596.1533436291893,-585.8630432255558,,303.1967468261719,325.20477294921875,309.99884033203125
117,CF681,CF681.jpg,CF681,3.683333333333333,F,-570.8065914452869,-560.7624630775485,,256.7083740234375,278.3940734863281,262.59716796875
118,CF682,CF682.jpg,CF682,4.283333333333333,F,-583.0983738365645,-574.2757568287152,,271.6173095703125,292.478271484375,277.3370056152344
119,CF683,CF683.jpg,CF683,4.183333333333334,F,-571.8608900310674,-563.235786218601,,323.9575500488281,361.4212951660156,339.17987060546875
120,CF684,CF684.jpg,CF684,3.566666666666667,F,-581.4157565080786,-574.040717358998,,320.5508728027344,329.92181396484375,321.0244445800781
121,CF685,CF685.jpg,CF685,3.466666666666667,F,-inf,-inf,,467.770751953125,476.7132263183594,469.3490905761719
122,CF686,CF686.jpg,CF686,4.116666666666666,F,-596.3694741368508,-594.5348527509504,,330.02191162109375,336.21771240234375,328.9900817871094
123,CF687,CF687.jpg,CF687,4.166666666666667,F,-566.7107568607947,-553.8099561267857,,295.9564208984375,327.97772216796875,307.95428466796875
124,CF688,CF688.jpg,CF688,3.6,F,-650.8883346146009,-645.8482602088623,,340.04730224609375,342.0421142578125,336.99932861328125
125,CF689,CF689.jpg,CF689,4.483333333333333,F,-575.7487267388138,-576.1442027035894,,335.009765625,330.7671203613281,328.7480773925781
126,CF69,CF69.jpg,CF69,3.0,F,-665.9555193470974,-669.8924389883497,,357.107177734375,356.7625427246094,353.07025146484375
127,CF690,CF690.jpg,CF690,3.716666666666667,F,-621.5662320740762,-608.4584341107013,,383.5221862792969,403.0441589355469,389.9012756347656
128,CF691,CF691.jpg,CF691,3.45,F,-674.9199550995401,-663.1391482667246,,371.206787109375,382.8503112792969,373.4173278808594
129,CF692,CF692.jpg,CF692,4.316666666666666,F,-589.6304730674166,-599.0780450788174,,331.85009765625,345.5557861328125,334.69793701171875
130,CF693,CF693.jpg,CF693,3.983333333333333,F,-659.9483088871086,-649.4161949650907,,375.4356384277344,382.7373352050781,375.4676818847656
131,CF694,CF694.jpg,CF694,3.4833333333333334,F,-610.2535692699528,-597.544466908206,,330.45489501953125,367.64288330078125,345.59649658203125
132,AF1026,AF1026.jpg,AF1026,3.65,F,-493.38252777906047,-489.5224975484645,,169.3905029296875,178.77114868164062,166.07887268066406
133,AF1045,AF1045.jpg,AF1045,3.816666666666667,F,-503.5004018322415,-500.19273769173316,,163.89366149902344,196.0121612548828,172.90756225585938
134,AF1062,AF1062.jpg,AF1062,4.183333333333334,F,-507.6356434420597,-509.08730530714644,,218.07168579101562,241.84457397460938,224.227783203125
135,AF1098,AF1098.jpg,AF1098,1.55,F,-493.2764115015015,-498.5415545745487,,165.12599182128906,137.98870849609375,142.86288452148438
136,AF1125,AF1125.jpg,AF1125,2.75,F,-510.91694681333354,-504.7963601286965,,207.6282196044922,245.68081665039062,221.3376007080078
137,AF115,AF115.jpg,AF115,2.95,F,-525.9530851717019,-516.8196020905411,,271.1590881347656,293.6709899902344,277.7427062988281
138,AF1173,AF1173.jpg,AF1173,2.216666666666667,F,-493.00599596062693,-494.89473675830106,,149.93589782714844,153.74468994140625,142.5312957763672
139,AF1192,AF1192.jpg,AF1192,2.9833333333333334,F,-489.704985609234,-488.00943324585137,,147.6260223388672,171.77117919921875,151.34548950195312
140,AF121,AF121.jpg,AF121,2.3833333333333333,F,-501.500949266578,-501.7625442910275,,188.80487060546875,222.2706298828125,199.4538116455078
141,AF1241,AF1241.jpg,AF1241,3.933333333333333,F,-492.95216903402707,-491.28609622387717,,138.62948608398438,163.9936981201172,142.52053833007812
142,AF126,AF126.jpg,AF126,2.75,F,-540.3323529383525,-534.8711404418187,,263.6649475097656,304.33575439453125,279.867431640625
143,AF128,AF128.jpg,AF128,2.8666666666666667,F,-526.6355956593769,-533.4122816904988,,243.9369354248047,256.6614074707031,244.83917236328125
144,AF1306,AF1306.jpg,AF1306,2.033333333333333,F,-515.2980388357175,-512.9584517962267,,203.407958984375,204.87539672851562,197.30792236328125
145,AF1329,AF1329.jpg,AF1329,3.4166666666666665,F,-523.4992017213724,-520.8092967360373,,207.15480041503906,244.90676879882812,220.68594360351562
146,AF1354,AF1354.jpg,AF1354,3.283333333333333,F,-534.2672855141526,-532.8229183358112,,276.24444580078125,317.96502685546875,293.1935119628906
147,AF1381,AF1381.jpg,AF1381,3.633333333333333,F,-507.55173578789237,-503.46812401712475,,173.35055541992188,225.97235107421875,194.45570373535156
148,AF1413,AF1413.jpg,AF1413,3.3666666666666667,F,-509.1824259537274,-510.22511730326704,,173.9570770263672,181.37734985351562,169.81008911132812
149,AF144,AF144.jpg,AF144,2.0166666666666666,F,-515.0546637493514,-509.72691645938477,,227.75523376464844,235.7971649169922,225.81504821777344
150,AF1463,AF1463.jpg,AF1463,2.933333333333333,F,-530.252758735717,-527.1425794239834,,241.79193115234375,272.7610778808594,252.36289978027344
151,AF1483,AF1483.jpg,AF1483,2.5166666666666666,F,-494.42192540418586,-490.89484552314264,,135.27301025390625,152.52784729003906,134.30499267578125
152,AF1503,AF1503.jpg,AF1503,2.9166666666666665,F,-532.4289217952836,-535.5305855533693,,253.61558532714844,264.460693359375,253.74441528320312
153,AF1521,AF1521.jpg,AF1521,3.65,F,-526.7928957629387,-521.675159853825,,208.27745056152344,242.40225219726562,219.8300323486328
154,AF1546,AF1546.jpg,AF1546,3.966666666666667,F,-517.4039727416044,-509.731565586173,,203.89797973632812,241.36891174316406,217.19284057617188
155,AF1570,AF1570.jpg,AF1570,2.5,F,-523.5858694423576,-520.6792678493948,,200.7872314453125,234.87815856933594,212.12660217285156
156,AF1603,AF1603.jpg,AF1603,3.95,F,-499.00710300692464,-495.8058414397652,,162.31089782714844,202.046875,175.61306762695312
157,AF995,AF995.jpg,AF995,3.0166666666666666,F,-504.5446433581243,-499.05087660530944,,210.55224609375,226.58810424804688,212.3517608642578
158,AF996,AF996.jpg,AF996,3.3666666666666667,F,-503.9934913808564,-499.9815542520067,,199.4513397216797,247.0552978515625,218.3223419189453
159,AF997,AF997.jpg,AF997,3.733333333333333,F,-505.72389140267006,-501.31528230399323,,164.8262939453125,189.655517578125,169.77789306640625
160,AF998,AF998.jpg,AF998,3.35,F,-629.097285518347,-625.3301303338749,,334.8639221191406,366.1029357910156,346.89862060546875
161,AF999,AF999.jpg,AF999,3.5,F,-581.7844099760034,-615.4850661095531,,322.0668029785156,313.7281799316406,313.57977294921875
162,AM1,AM1.jpg,AM1,3.95,M,-518.5872934204012,,-505.1400956856879,275.65386962890625,233.62042236328125,250.07569885253906
163,AM10,AM10.jpg,AM10,1.1666666666666667,M,-585.171962397562,,-601.5774561224149,324.0577697753906,330.69903564453125,323.17755126953125
164,AM100,AM100.jpg,AM100,2.0166666666666666,M,-503.8147822675863,,-494.9021280173291,220.2994384765625,188.5970458984375,198.25845336914062
165,AM1000,AM1000.jpg,AM1000,2.7666666666666666,M,-533.4171083485717,,-523.8865325583282,270.0959167480469,227.49049377441406,244.14736938476562
166,AM1001,AM1001.jpg,AM1001,2.3,M,-492.6968060403663,,-482.33710958520754,162.35816955566406,142.4463653564453,143.46304321289062
167,AM1002,AM1002.jpg,AM1002,1.9166666666666667,M,-506.9100902915279,,-501.30482890313874,245.20245361328125,219.3589630126953,226.66575622558594
168,AM1003,AM1003.jpg,AM1003,2.466666666666667,M,-519.7356422527857,,-507.586826766854,258.6031188964844,218.22201538085938,233.4615478515625
169,AM1004,AM1004.jpg,AM1004,2.3,M,-531.5840069364747,,-523.161671655024,277.66326904296875,248.9710235595703,258.4527282714844
170,AM1005,AM1005.jpg,AM1005,2.45,M,-502.186400873416,,-490.5449442753753,204.03541564941406,173.2972412109375,181.8990478515625
171,AM1006,AM1006.jpg,AM1006,2.2333333333333334,M,-503.7025999777614,,-494.8686030223928,194.26576232910156,164.7559356689453,172.33084106445312
172,AM1007,AM1007.jpg,AM1007,2.316666666666667,M,-518.355537463656,,-508.9709683163347,208.3889617919922,189.14183044433594,191.98008728027344
173,AM1008,AM1008.jpg,AM1008,2.4833333333333334,M,-519.0585418790151,,-510.27920631062307,244.40597534179688,211.69375610351562,222.5541229248047
174,AM1009,AM1009.jpg,AM1009,2.716666666666667,M,-513.3836217599936,,-503.6503339430069,219.43045043945312,197.71310424804688,202.1785888671875
175,AM101,AM101.jpg,AM101,3.4833333333333334,M,-494.841108440747,,-486.4140022056211,175.96890258789062,158.03067016601562,158.8251953125
176,AM1010,AM1010.jpg,AM1010,2.25,M,-493.80140380566,,-484.00477718295224,233.0889434814453,213.13983154296875,217.10733032226562
177,AM1011,AM1011.jpg,AM1011,2.75,M,-509.4559343317658,,-496.69058939692735,208.89205932617188,179.76339721679688,187.70042419433594
178,AM1012,AM1012.jpg,AM1012,2.066666666666667,M,-562.0566876980254,,-552.5626673335149,272.4778137207031,268.5479431152344,265.3999938964844
179,AM1013,AM1013.jpg,AM1013,2.7666666666666666,M,-517.6398959618722,,-510.12734265546277,259.1410827636719,218.2105712890625,233.75424194335938
180,AM1014,AM1014.jpg,AM1014,1.8666666666666667,M,-560.8070583291484,,-546.4666532689911,305.6917419433594,278.8222351074219,287.8379821777344
181,AM1015,AM1015.jpg,AM1015,2.333333333333333,M,-509.7651991944126,,-499.785981823911,271.2517395019531,235.1141357421875,248.36294555664062
182,AM1016,AM1016.jpg,AM1016,1.8166666666666669,M,-533.4269785469171,,-538.4868129790896,229.57925415039062,224.50816345214844,220.93289184570312
183,AM1017,AM1017.jpg,AM1017,2.283333333333333,M,-522.4656107152452,,-514.0226383816815,203.02149963378906,181.02862548828125,185.06922912597656
184,AM1018,AM1018.jpg,AM1018,2.8833333333333333,M,-537.217442900527,,-525.3253056851122,268.8724670410156,241.22467041015625,249.99388122558594
185,AM1019,AM1019.jpg,AM1019,2.7,M,-506.2940471425653,,-498.97266186436207,206.13243103027344,172.70364379882812,182.79672241210938
186,AM102,AM102.jpg,AM102,2.933333333333333,M,-562.7437797746804,,-559.5166976478015,296.3085632324219,261.46783447265625,274.47796630859375
187,AM1020,AM1020.jpg,AM1020,3.95,M,-501.5424511949003,,-492.44775362593094,215.1207733154297,175.7999725341797,189.33399963378906
188,AM1021,AM1021.jpg,AM1021,2.85,M,-531.432058903083,,-525.5632840811177,226.89036560058594,203.23988342285156,208.92323303222656
189,AF177,AF177.jpg,AF177,1.7333333333333334,F,-523.1365676299762,-519.1438508682552,,227.1891326904297,236.53529357910156,225.91587829589844
190,AF1770,AF1770.jpg,AF1770,4.116666666666666,F,-531.2947266608937,-530.2855171130202,,240.94384765625,260.8916320800781,245.5916290283203
191,AF1771,AF1771.jpg,AF1771,1.6666666666666667,F,-517.9767939607447,-509.91611438882626,,238.6082763671875,260.7296142578125,244.36239624023438
192,AF1772,AF1772.jpg,AF1772,3.5,F,-513.64153274286,-506.4485049924086,,183.94509887695312,228.5957489013672,200.7534942626953
193,AF1773,AF1773.jpg,AF1773,2.566666666666667,F,-516.7228628386656,-515.481431533296,,191.60775756835938,210.23216247558594,194.19479370117188
194,AF1774,AF1774.jpg,AF1774,3.0166666666666666,F,-505.8994165557526,-503.85642436520914,,168.57373046875,192.61614990234375,173.24868774414062
