,Model,Image,y_pred,y_true,sexe_f_prob,folder,GenderSelf,Feminine,Attractive,LL,LL_F,LL_M,dist_centre_F,dist_centre_H,dist_centre
27,AF-228,CFD-AF-228-173-N.jpg,0,0,0.98513633,CFD,F,5.115384615,4.346153846,-423.273885677741,-429.86521866632154,,271.1302795410156,360.9808654785156,300.43682861328125
28,AF-229,CFD-AF-229-160-N.jpg,0,0,0.99992156,CFD,F,4.925925926,4.37037037,-423.54432620733013,-424.0648270738393,,262.1724853515625,353.3505859375,291.950439453125
29,AF-230,CFD-AF-230-193-N.jpg,0,0,0.99605465,CFD,F,5.333333333,4.518518519,-405.9204870927805,-399.55972300485445,,274.8950500488281,367.2557067871094,305.830078125
30,AF-231,CFD-AF-231-357-N.jpg,0,0,0.99976915,CFD,F,3.25,2.347826087,-418.60311499605496,-418.2941626943796,,247.60772705078125,375.7950439453125,298.75067138671875
31,AF-232,CFD-AF-232-078-N.jpg,0,0,0.87575763,CFD,F,3.769230769,2.846153846,-428.14503385589046,-440.7799812806382,,366.7066345214844,435.2853698730469,387.8782958984375
32,AF-233,CFD-AF-233-190-N.jpg,0,0,0.9998895,CFD,F,5.178571429,4.035714286,-435.04485254180486,-440.7534658098402,,333.299072265625,453.3202819824219,382.2275695800781
33,AF-234,CFD-AF-234-208-N.jpg,0,0,0.99080175,CFD,F,4.518518519,3.185185185,-411.40214431032655,-410.576590522189,,222.77914428710938,307.3399353027344,245.87400817871094
34,AF-235,CFD-AF-235-170-N.jpg,0,0,0.99790525,CFD,F,5.5,4.192307692,-430.4135729083192,-448.7292457861504,,327.0672912597656,398.2470703125,348.35687255859375
35,AF-236,CFD-AF-236-145-N.jpg,0,0,0.9985195,CFD,F,5,3.666666667,-412.6247173257145,-403.1108170356544,,238.88357543945312,348.2660827636719,278.23455810546875
36,AF-237,CFD-AF-237-223-N.jpg,0,0,0.9999585,CFD,F,5.185185185,4.555555556,-426.3313986496065,-422.82436415690074,,250.290283203125,364.3165283203125,292.9306335449219
37,AF-238,CFD-AF-238-185-N.jpg,0,0,0.9997212,CFD,F,4.037037037,2.888888889,-418.54038663723315,-414.06491265789884,,268.90118408203125,343.645263671875,289.09149169921875
38,AF-239,CFD-AF-239-171-N.jpg,0,0,0.9963419,CFD,F,5.222222222,4.148148148,-457.2978814255381,-464.91205736151096,,311.4911193847656,432.44183349609375,360.57965087890625
39,AF-240,CFD-AF-240-206-N.jpg,0,0,0.74531615,CFD,F,4.75,3.586206897,-412.4118759623807,-410.53952336065834,,238.0784912109375,317.0715026855469,258.8140563964844
40,AF-242,CFD-AF-242-158-N.jpg,0,0,0.99258053,CFD,F,5.518518519,4.964285714,-411.73239649981224,-404.5869241636056,,236.64414978027344,326.2022399902344,263.97137451171875
41,AF-243,CFD-AF-243-170-N.jpg,0,0,0.98408496,CFD,F,5.137931034,4.413793103,-474.87899102861354,-483.92332190885577,,346.32635498046875,457.9740905761719,390.6683349609375
42,AF-244,CFD-AF-244-168-N.jpg,0,0,0.99938285,CFD,F,5.458333333,4.666666667,-465.11833926989567,-464.21286191615275,,430.23870849609375,542.5469970703125,476.6320495605469
43,AF-245,CFD-AF-245-143-N.jpg,0,0,0.9978132,CFD,F,5.037037037,4.555555556,-436.3521313825225,-425.84998122298487,,330.1871032714844,426.0606994628906,365.12432861328125
44,AF-246,CFD-AF-246-242-N.jpg,0,0,0.76319796,CFD,F,4.740740741,3.615384615,-424.53838797437254,-430.5143654865993,,288.6727294921875,345.9452209472656,299.7097473144531
45,AF-247,CFD-AF-247-278-N.jpg,0,0,0.9960097,CFD,F,4.071428571,3.178571429,-429.67020463666967,-416.25647712707644,,301.38641357421875,399.3645324707031,336.73687744140625
46,AF-248,CFD-AF-248-148-N.jpg,0,0,0.9999975,CFD,F,5.464285714,4.137931034,-439.6813088356082,-434.3658293067954,,325.62158203125,462.4277038574219,384.4347229003906
47,AF-249,CFD-AF-249-092-N.jpg,0,0,0.99987054,CFD,F,5.24,4.56,-447.65915828431196,-441.4142655502359,,348.26385498046875,486.0827331542969,407.7536315917969
48,AF-250,CFD-AF-250-200-N.jpg,0,0,0.73327816,CFD,F,4.892857143,3.964285714,-415.90376777911376,-418.1830866626074,,187.406005859375,263.1483154296875,201.9892120361328
49,AF-251,CFD-AF-251-093-N.jpg,0,0,0.9894874,CFD,F,5.25,4.607142857,-451.7061459969904,-458.7327883365091,,352.2069091796875,448.60546875,388.67041015625
50,AF-252,CFD-AF-252-135-N.jpg,0,0,0.99385875,CFD,F,5.586206897,4.206896552,-406.81190985754006,-400.23708747230216,,193.46145629882812,282.1352844238281,216.64955139160156
51,AF-253,CFD-AF-253-130-N.jpg,0,0,0.9828142,CFD,F,5.586206897,4.535714286,-409.5321588448609,-404.73047953979676,,312.6328430175781,379.1614074707031,330.3595886230469
52,AF-254,CFD-AF-254-167-N.jpg,0,0,0.99996626,CFD,F,5.4,3.84,-450.5744766239843,-472.2994616375879,,340.0973815917969,455.0532531738281,386.2838134765625
53,AF-255,CFD-AF-255-209-N.jpg,0,0,0.9999888,CFD,F,5.48,4.8,-456.8717970508043,-474.45517692483077,,270.82452392578125,373.45220947265625,308.1080322265625
54,AF-256,CFD-AF-256-160-N.jpg,0,0,0.9999467,CFD,F,4.409090909,3.454545455,-408.79779607173805,-404.82903537772347,,266.3341369628906,390.7286071777344,315.77337646484375
55,AM-201,CFD-AM-201-076-N.jpg,1,1,0.00016756053,CFD,M,1.541666667,3.04,-417.47321041564095,,-421.24596335977685,332.7488708496094,269.7413024902344,285.17022705078125
56,AM-202,CFD-AM-202-079-N.jpg,1,1,0.00010367699,CFD,M,1.538461538,2.777777778,-462.09039429166927,,-467.10691078251057,346.2085266113281,300.0200500488281,307.3218078613281
57,AM-203,CFD-AM-203-086-N.jpg,1,1,0.00058656326,CFD,M,2.083333333,2.458333333,-418.5079369885579,,-423.67878651082754,315.3316955566406,284.4200744628906,281.22760009765625
58,AM-204,CFD-AM-204-122-N.jpg,1,1,0.18434046,CFD,M,2.130434783,3.041666667,-443.7029946568256,,-467.9003009012631,335.3263854980469,344.4721374511719,322.9382629394531
59,AM-205,CFD-AM-205-153-N.jpg,1,1,0.0004326125,CFD,M,1.416666667,2.625,-427.7432275100826,,-422.73151866144406,345.91387939453125,297.1955261230469,305.1468505859375
60,AM-207,CFD-AM-207-108-N.jpg,1,1,1.4796697e-05,CFD,M,1.458333333,2.958333333,-420.87126450072503,,-427.7192904229614,304.2478942871094,242.06683349609375,255.23452758789062
61,AM-208,CFD-AM-208-143-N.jpg,1,1,0.00021451045,CFD,M,1.464285714,2.964285714,-414.7738214962553,,-411.5856269955834,256.4156188964844,231.3274688720703,221.3981170654297
62,AM-209,CFD-AM-209-048-N.jpg,1,1,7.2028593e-06,CFD,M,1.428571429,2.857142857,-438.91053242618125,,-442.9867502768068,373.8868713378906,310.89105224609375,328.20361328125
63,AM-210,CFD-AM-210-035-N.jpg,1,1,0.036278974,CFD,M,2.285714286,3.80952381,-412.54415723586936,,-412.95114220074504,290.7524108886719,275.8430480957031,263.7695007324219
64,AM-211,CFD-AM-211-052-N.jpg,1,1,6.7856774e-05,CFD,M,1.428571429,3.428571429,-411.01412923274154,,-403.55915970731144,317.943115234375,266.2815856933594,274.7359619140625
65,AM-212,CFD-AM-212-050-N.jpg,1,1,9.611397e-06,CFD,M,1.259259259,1.846153846,-431.4958557125079,,-430.2345046425587,333.6542053222656,272.72100830078125,287.25994873046875
66,AM-213,CFD-AM-213-056-N.jpg,1,1,0.005411379,CFD,M,1.285714286,2.142857143,-414.3861169403999,,-414.08099979015117,303.1119384765625,280.00274658203125,272.65679931640625
67,AM-214,CFD-AM-214-168-N.jpg,1,1,5.1394603e-05,CFD,M,1.925925926,3.888888889,-474.3714977186844,,-491.2637138256989,395.7972717285156,310.28717041015625,341.1338195800781
68,AM-215,CFD-AM-215-120-N.jpg,1,1,0.0026407156,CFD,M,1.407407407,3.076923077,-471.49692246941026,,-487.01811929820667,384.8312072753906,362.937744140625,359.5493469238281
69,AM-216,CFD-AM-216-114-N.jpg,1,1,0.0032671466,CFD,M,1.6,4.12,-409.78565280598326,,-418.3772457752698,239.6273193359375,209.16046142578125,199.0039520263672
70,AM-217,CFD-AM-217-085-N.jpg,1,1,6.079044e-07,CFD,M,1.384615385,2.538461538,-505.69940530257867,,-531.0842833951696,408.354248046875,343.4391174316406,363.025390625
71,AM-218,CFD-AM-218-085-N.jpg,1,1,0.0020097538,CFD,M,1.25,3.214285714,-424.5795707819792,,-438.3916263246399,293.0063781738281,303.6285705566406,279.4974365234375
72,AM-219,CFD-AM-219-101-N.jpg,1,1,4.8408992e-06,CFD,M,1.466666667,2.517241379,-432.8983187636503,,-438.4932491555056,338.7103271484375,274.79644775390625,290.99053955078125
73,AM-220,CFD-AM-220-134-N.jpg,1,1,0.0009375929,CFD,M,1.344827586,2.344827586,-401.94682857546064,,-392.62822651919066,251.61134338378906,240.763427734375,223.4432830810547
74,AM-221,CFD-AM-221-184-N.jpg,1,1,0.014706873,CFD,M,1.807692308,3.230769231,-409.6726410813145,,-405.2677061269078,257.7868347167969,247.68081665039062,229.63925170898438
75,AM-223,CFD-AM-223-138-N.jpg,1,1,2.6272593e-05,CFD,M,1.259259259,2.222222222,-415.7499756402779,,-405.87574414977564,311.0884704589844,244.315185546875,260.22357177734375
76,AM-224,CFD-AM-224-126-N.jpg,1,1,1.8542283e-06,CFD,M,1.48,1.52,-434.6193058742846,,-465.76985511538044,343.8179931640625,294.8019104003906,303.2606201171875
77,AM-225,CFD-AM-225-102-N.jpg,1,1,1.315883e-06,CFD,M,1.48,3.52,-422.4477114610079,,-415.0434031586182,347.1482238769531,269.4321594238281,293.7522277832031
78,AM-226,CFD-AM-226-234-N.jpg,1,1,0.0001847333,CFD,M,1.272727273,1.80952381,-430.2919475068884,,-434.83700702845096,324.8683776855469,301.83477783203125,295.5475769042969
79,AM-227,CFD-AM-227-184-N.jpg,1,1,2.2673356e-07,CFD,M,1.038461538,2.384615385,-412.79801461299803,,-403.6994761402671,316.0823059082031,217.17481994628906,250.79351806640625
80,AM-229,CFD-AM-229-224-N.jpg,1,1,2.569951e-06,CFD,M,1.538461538,3.48,-436.76038856847754,,-437.0630662109106,305.1229248046875,236.46372985839844,252.74485778808594
81,AM-230,CFD-AM-230-150-N.jpg,1,1,0.0002614786,CFD,M,1.739130435,2.173913043,-411.12838387753277,,-417.7363151854614,316.30145263671875,298.5616760253906,289.6704406738281
82,AM-231,CFD-AM-231-136-N.jpg,1,1,4.8941706e-06,CFD,M,1.379310345,3.571428571,-469.6818622740838,,-458.12799400159304,435.2661437988281,321.708740234375,369.28533935546875
83,AM-232,CFD-AM-232-251-N.jpg,1,1,1.9074032e-05,CFD,M,1.153846154,2.16,-476.8332777087543,,-502.1713381930502,395.17449951171875,338.062255859375,353.3437194824219
84,AM-233,CFD-AM-233-236-N.jpg,1,1,0.011392592,CFD,M,1.153846154,1.857142857,-423.9187273655208,,-438.10489700766897,300.3812561035156,299.6235656738281,281.61297607421875
85,AM-234,CFD-AM-234-355-N.jpg,1,1,0.4427089,CFD,M,1.653846154,2.692307692,-420.13661800278214,,-457.56224050475805,268.24505615234375,283.9527587890625,255.60276794433594
86,AM-235,CFD-AM-235-241-N.jpg,1,1,0.000110299414,CFD,M,1.52,2.36,-459.643563421693,,-460.60212777148513,377.77996826171875,283.2301940917969,317.5804443359375
87,AM-236,CFD-AM-236-090-N.jpg,1,1,4.249304e-05,CFD,M,1.428571429,2.888888889,-418.222403542241,,-411.21535793916837,342.76922607421875,276.14599609375,293.3796691894531
88,AM-237,CFD-AM-237-154-N.jpg,1,1,0.00019578816,CFD,M,2,3.269230769,-431.332030491557,,-443.88082040840743,335.2324523925781,291.64752197265625,296.2646789550781
89,AM-238,CFD-AM-238-269-N.jpg,1,1,0.0006184937,CFD,M,1.769230769,3.12,-397.88953959353665,,-394.6784991340606,292.6778869628906,279.8868103027344,266.5989990234375
90,AM-239,CFD-AM-239-147-N.jpg,1,1,1.4708849e-05,CFD,M,1.92,3.24,-442.52051816924984,,-437.2496311310659,375.40069580078125,334.8987121582031,340.6178283691406
91,AM-240,CFD-AM-240-191-N.jpg,1,1,3.820876e-06,CFD,M,1.384615385,2.36,-424.98494977201426,,-431.95311436471525,302.9549560546875,227.62820434570312,247.09742736816406
92,AM-241,CFD-AM-241-287-N.jpg,1,1,3.4012133e-05,CFD,M,1.576923077,3.538461538,-415.1275764434318,,-422.9302960560118,314.1718444824219,267.8604736328125,273.0494079589844
93,AM-242,CFD-AM-242-176-N.jpg,1,1,2.8927125e-06,CFD,M,1.48,2.4,-427.12606252465076,,-420.91417967572613,296.36920166015625,208.8625946044922,235.0265655517578
94,AM-243,CFD-AM-243-212-N.jpg,1,1,1.8769926e-05,CFD,M,1.96,3.68,-415.6423587767882,,-413.59472480600186,286.99481201171875,212.24411010742188,230.66563415527344
95,AM-244,CFD-AM-244-222-N.jpg,1,1,0.0016599438,CFD,M,1.464285714,2.678571429,-432.90856076894073,,-469.61375386009786,262.6533508300781,218.81443786621094,218.43836975097656
96,AM-245,CFD-AM-245-111-N.jpg,1,1,1.5955759e-06,CFD,M,1.28,3.6,-405.33197284586765,,-400.1359441459991,294.2056884765625,195.54660034179688,228.0439910888672
97,AM-246,CFD-AM-246-184-N.jpg,1,1,6.92771e-06,CFD,M,1.892857143,3.074074074,-400.032733177575,,-400.7002891538291,263.5321350097656,191.41078186035156,205.85256958007812
98,AM-247,CFD-AM-247-165-N.jpg,1,1,0.000103663246,CFD,M,1.666666667,2.375,-461.7152251014629,,-471.52170678379025,327.09747314453125,281.3697509765625,286.4836730957031
99,AM-248,CFD-AM-248-104-N.jpg,1,1,0.00017649944,CFD,M,1.538461538,2.846153846,-433.8643357437665,,-456.99056938769036,290.13226318359375,250.5089569091797,250.57318115234375
100,AF-220,CFD-AF-220-107-N.jpg,0,0,0.9844254,CFD,F,4.565217391,3.173913043,-435.5383255931654,-441.42232469563214,,291.787109375,370.8731384277344,316.271484375
101,AF-241,CFD-AF-241-141-N.jpg,1,0,0.4802852,CFD,F,4.916666667,2.958333333,-450.5992907083036,-453.10439275743386,,301.7143859863281,392.83087158203125,333.61798095703125
102,AM-206,CFD-AM-206-086-N.jpg,1,1,0.0055470965,CFD,M,1.428571429,2.285714286,-426.55753189040433,,-436.49868463584573,353.33856201171875,338.5389709472656,330.18206787109375
103,AM-228,CFD-AM-228-214-N.jpg,1,1,8.869603e-06,CFD,M,1.535714286,3.428571429,-422.0166603716706,,-415.2279954317453,316.6407470703125,240.73858642578125,261.550048828125
104,AM-249,CFD-AM-249-163-N.jpg,1,1,0.0002332646,CFD,M,1.791666667,2.541666667,-452.2506353476931,,-480.5385951274513,296.6750183105469,255.08224487304688,257.01959228515625
105,BF-017,CFD-BF-017-003-N.jpg,1,0,0.38793033,CFD,F,4.284090909,2.988636364,-447.545876102501,-445.93042968115367,,321.2273254394531,386.21697998046875,339.19073486328125
106,BF-040,CFD-BF-040-003-N.jpg,1,0,0.03557849,CFD,F,4.068965517,3.206896552,-445.5669213822304,-475.4537078875027,,361.804443359375,370.00244140625,351.20758056640625
107,BF-210,CFD-BF-210-130-N.jpg,1,0,0.0027475434,CFD,F,4.962962963,4.074074074,-439.34462282497157,-434.7444547356145,,295.605712890625,278.0580749511719,268.2160339355469
108,BF-231,CFD-BF-231-202-N.jpg,1,0,0.028826693,CFD,F,3.814814815,2.888888889,-426.7775474082676,-426.38894881732335,,254.3607177734375,257.54132080078125,234.0308837890625
109,BF-252,CFD-BF-252-191-N.jpg,1,0,0.026215294,CFD,F,3.826086957,2.565217391,-437.2172637787711,-456.0392077282369,,263.0526123046875,287.4857177734375,255.21563720703125
110,BM-022,CFD-BM-022-022-N.jpg,1,1,3.2835957e-05,CFD,M,1.692307692,3.791208791,-406.20353862051945,,-403.4190620971099,319.79541015625,236.59776306152344,262.0827331542969
111,BM-045,CFD-BM-045-004-N.jpg,1,1,6.000387e-08,CFD,M,1.505617978,3.179775281,-397.3213736647418,,-385.89619926766727,258.98138427734375,175.61920166015625,196.57241821289062
112,BM-219,CFD-BM-219-141-N.jpg,1,1,0.0003447983,CFD,M,2.038461538,2.111111111,-456.41211575474057,,-463.24163272196057,342.1802673339844,293.75537109375,301.65716552734375
113,BM-241,CFD-BM-241-235-N.jpg,1,1,2.3389166e-06,CFD,M,1.346153846,3.384615385,-395.5315669616368,,-388.7957903746166,293.370849609375,191.72862243652344,226.2009735107422
114,LF-208,CFD-LF-208-127-N.jpg,0,0,0.99994147,CFD,F,4.714285714,3.571428571,-507.5046129020465,-529.1673463183165,,372.2211608886719,485.2077331542969,418.2254333496094
115,LF-229,CFD-LF-229-164-N.jpg,0,0,0.99854326,CFD,F,4.347826087,3.739130435,-414.1328757536651,-419.24184314482545,,225.30995178222656,287.6769714355469,235.37547302246094
116,LF-250,CFD-LF-250-169-N.jpg,0,0,0.9979519,CFD,F,4.740740741,3.444444444,-474.87431309301866,-494.7394988277115,,348.3135986328125,437.3379211425781,379.46380615234375
117,LM-216,CFD-LM-216-082-N.jpg,1,1,5.5908176e-06,CFD,M,1.851851852,2.777777778,-411.9780538956784,,-403.13935027009273,276.287841796875,206.39125061035156,221.2193145751953
118,LM-237,CFD-LM-237-264-N.jpg,1,1,2.5708946e-06,CFD,M,1.545454545,2.590909091,-432.31746078930985,,-435.5175404056611,326.1943664550781,260.99462890625,276.9115295410156
119,WF-007,CFD-WF-007-001-N.jpg,0,0,0.9200858,CFD,F,3.957446809,2.892473118,-551.6227561641142,-614.1081472088662,,402.0999450683594,408.2281494140625,391.258544921875
120,WF-028,CFD-WF-028-023-N.jpg,1,0,0.33329737,CFD,F,4.065217391,2.47826087,-429.64987815780216,-429.7554493960902,,248.5084991455078,289.6488037109375,248.42308044433594
121,WF-210,CFD-WF-210-086-N.jpg,1,0,0.00032064074,CFD,F,2.730769231,1.884615385,-452.6849260811638,-456.07199376539023,,293.9306335449219,263.509033203125,259.3042297363281
122,WF-231,CFD-WF-231-099-N.jpg,0,0,0.99998796,CFD,F,5.310344828,3.857142857,-435.824900914735,-432.9337631466743,,284.74432373046875,395.675048828125,327.20013427734375
123,WF-252,CFD-WF-252-159-N.jpg,0,0,0.99983597,CFD,F,5.107142857,3.785714286,-492.8258984288341,-532.0194319367938,,354.9402160644531,431.0831604003906,379.6643981933594
124,WM-024,CFD-WM-024-015-N.jpg,1,1,1.2299648e-07,CFD,M,2.219512195,3.646341463,-433.4131964703067,,-437.26335557634536,363.3553771972656,232.3230438232422,287.6038818359375
125,WM-205,CFD-WM-205-007-N.jpg,1,1,5.6990363e-08,CFD,M,1.541666667,3.8,-436.75348494460263,,-446.0767820449478,462.2330627441406,317.3302917480469,383.6902770996094
126,WM-227,CFD-WM-227-099-N.jpg,1,1,3.9801507e-06,CFD,M,1.739130435,2.434782609,-427.6211111777887,,-429.7246277147783,275.7901306152344,227.61605834960938,230.90621948242188
127,AM-250,CFD-AM-250-149-N.jpg,1,1,4.6595193e-05,CFD,M,2.038461538,3.076923077,-445.20649745146,,-453.7684268851053,333.00872802734375,279.74505615234375,289.55657958984375
128,AM-251,CFD-AM-251-124-N.jpg,1,1,0.00019047235,CFD,M,1.153846154,2.461538462,-404.3122710241007,,-399.1362222243098,286.6993103027344,252.7080535888672,249.40914916992188
129,AM-252,CFD-AM-252-114-N.jpg,1,1,0.00021115487,CFD,M,1.92,2.64,-417.0435771088292,,-415.19634911842525,273.9880676269531,257.5574035644531,244.67930603027344
130,AM-253,CFD-AM-253-161-N.jpg,1,1,3.5092714e-06,CFD,M,1.586206897,3.862068966,-404.3859861302967,,-400.5380679652198,282.8096618652344,193.9237518310547,219.63372802734375
131,BF-001,CFD-BF-001-025-N.jpg,1,0,0.00022166374,CFD,F,3.887640449,2.730337079,-472.6584147677487,-491.73949456111495,,321.1124267578125,320.7135314941406,303.92181396484375
132,BF-002,CFD-BF-002-001-N.jpg,0,0,0.8338428,CFD,F,5.397849462,4.892473118,-424.8357537344359,-425.8364684350657,,219.3008270263672,251.6112518310547,211.89488220214844
133,BF-003,CFD-BF-003-003-N.jpg,0,0,0.992338,CFD,F,4.191011236,3.191011236,-418.09742075141486,-413.88211899571286,,236.5731658935547,325.31610107421875,263.855712890625
134,BF-004,CFD-BF-004-014-N.jpg,1,0,0.16096644,CFD,F,3.744444444,2.711111111,-410.2754417189013,-404.9610339742808,,216.02035522460938,273.7853698730469,223.01211547851562
135,BF-005,CFD-BF-005-001-N.jpg,0,0,0.9055747,CFD,F,4.791208791,4.076923077,-419.05305270709385,-424.1683132625328,,218.47691345214844,288.292724609375,232.6365509033203
136,BF-006,CFD-BF-006-017-N.jpg,0,0,0.95204335,CFD,F,4.532608696,3.380434783,-439.1440723173631,-430.98710277377705,,294.916259765625,357.66705322265625,310.42938232421875
137,BF-007,CFD-BF-007-001-N.jpg,1,0,0.38960075,CFD,F,3.197802198,1.769230769,-423.586576162573,-418.8479586240661,,241.39195251464844,298.8414306640625,250.6431884765625
138,BF-008,CFD-BF-008-001-N.jpg,0,0,0.9971576,CFD,F,3.988505747,3.068965517,-428.1480354770744,-426.1588425797682,,201.70362854003906,275.8968200683594,217.62893676757812
139,BF-009,CFD-BF-009-002-N.jpg,1,0,0.14175689,CFD,F,3.795698925,2.77173913,-408.47924645271996,-404.74675047006343,,250.22052001953125,304.1380615234375,257.9518127441406
140,BF-010,CFD-BF-010-001-N.jpg,1,0,0.036334302,CFD,F,4.1,2.722222222,-443.93440599371456,-436.6725762444711,,342.49273681640625,367.8355712890625,339.34307861328125
141,BF-011,CFD-BF-011-002-N.jpg,1,0,0.00022401253,CFD,F,4.054945055,2.989247312,-447.50406754059395,-458.4296815708176,,282.7889709472656,289.69232177734375,266.9345703125
142,BF-012,CFD-BF-012-001-N.jpg,1,0,0.06967759,CFD,F,3.290322581,2.161290323,-467.09445357041557,-497.16914588082795,,261.35455322265625,256.42669677734375,237.26803588867188
143,BF-013,CFD-BF-013-001-N.jpg,0,0,0.99750036,CFD,F,5.466666667,4.777777778,-411.4043715076527,-412.2953543916932,,227.75949096679688,343.73583984375,270.94732666015625
144,BF-014,CFD-BF-014-002-N.jpg,1,0,0.2527788,CFD,F,3.802325581,2.406976744,-460.5810527799127,-458.0005317294402,,286.5301513671875,326.260498046875,288.62646484375
145,BF-015,CFD-BF-015-004-N.jpg,0,0,0.95987535,CFD,F,4.690721649,3.721649485,-421.3616652364445,-422.9431610425084,,205.669189453125,246.97320556640625,201.48397827148438
