,Model,Image,y_pred,y_true,sexe_f_prob,Attractive,GenderSelf,LL,LL_F,LL_M,dist_centre_F,dist_centre_H,dist_centre
14,AF1010,AF1010.jpg,0,0,0.9579634,2.583333333333333,F,-421.43586156858487,-421.45077800894916,,251.66851806640625,315.3368225097656,262.782958984375
15,AF1011,AF1011.jpg,0,0,0.9904206,3.1,F,-468.2615846552944,-460.8869347337396,,399.3067321777344,480.7296447753906,427.7161865234375
16,AF1012,AF1012.jpg,0,0,0.99998534,2.7666666666666666,F,-441.6760996265919,-433.6205138337593,,232.66513061523438,330.0461120605469,263.05792236328125
17,AF1013,AF1013.jpg,0,0,0.99997103,3.816666666666667,F,-515.4289483404211,-505.2297142972744,,395.8414001464844,495.6506042480469,434.56610107421875
18,AF1014,AF1014.jpg,0,0,0.99985075,4.316666666666666,F,-438.4748649308899,-436.1807269021149,,237.65396118164062,364.90997314453125,287.20556640625
19,AF1015,AF1015.jpg,0,0,0.9984048,3.683333333333333,F,-429.95683340079137,-424.29732126329986,,278.66162109375,387.13311767578125,318.4805603027344
20,AF1016,AF1016.jpg,0,0,0.99990153,3.816666666666667,F,-417.1255413672265,-417.6057379337075,,209.71237182617188,291.0805969238281,228.08181762695312
21,AF1017,AF1017.jpg,0,0,0.99993694,3.5,F,-420.512763635453,-422.29597047991183,,224.89736938476562,314.678466796875,249.93678283691406
22,AF1018,AF1018.jpg,0,0,0.99919266,3.316666666666667,F,-470.58176169395153,-466.27084130087366,,285.4911193847656,375.7818908691406,314.6844787597656
23,AF1019,AF1019.jpg,0,0,0.9998356,2.083333333333333,F,-410.4758149783494,-407.62068086710565,,174.27566528320312,317.53045654296875,230.79539489746094
24,AF102,AF102.jpg,0,0,0.9996604,2.8,F,-413.60028382036995,-412.64411255881976,,217.3680419921875,310.013671875,243.61114501953125
25,AF1020,AF1020.jpg,0,0,0.998139,2.8666666666666667,F,-432.41221911061115,-430.09295765788437,,281.01458740234375,337.3573913574219,289.9263916015625
26,AF1021,AF1021.jpg,0,0,0.9778732,2.933333333333333,F,-421.6902885613856,-417.5626897607524,,242.40432739257812,312.2228088378906,256.4940185546875
27,AF1022,AF1022.jpg,0,0,0.9963973,3.7666666666666666,F,-450.6935437977659,-445.56001655942924,,256.9200134277344,341.5876770019531,281.092041015625
28,AF1023,AF1023.jpg,0,0,0.99999475,3.4,F,-435.07838403840185,-426.7370847414908,,296.6927490234375,458.7268981933594,369.9948425292969
29,AF1024,AF1024.jpg,0,0,0.9999989,3.3666666666666667,F,-435.93221027271807,-435.6639068987542,,268.8426208496094,389.8637390136719,315.915771484375
30,AF1025,AF1025.jpg,0,0,0.7021025,1.8666666666666667,F,-442.2302222696899,-451.56908897972676,,340.1614685058594,345.84197998046875,324.5396423339844
31,AM1569,AM1569.jpg,1,1,1.5238572e-06,3.466666666666667,M,-444.23007167551566,,-435.3878321039476,394.49859619140625,256.0626220703125,313.4746398925781
32,AM157,AM157.jpg,1,1,0.20780663,3.6666666666666665,M,-440.52501496144976,,-431.1882964891684,298.1080017089844,234.76800537109375,244.25381469726562
33,AM1570,AM1570.jpg,1,1,0.0005209037,4.133333333333334,M,-432.3991978296412,,-423.7662838342009,335.8888244628906,223.87435913085938,262.9415283203125
34,AM1571,AM1571.jpg,0,1,0.98972124,3.6666666666666665,M,-437.28763346995424,,-432.0993668606617,220.0306854248047,191.43739318847656,173.77748107910156
35,AM1572,AM1572.jpg,0,1,0.96502644,4.3,M,-399.88804356755696,,-390.5072402692146,177.0279541015625,143.87185668945312,116.99028778076172
36,AM1573,AM1573.jpg,1,1,0.00029438568,2.9166666666666665,M,-424.8204908703948,,-419.35337823411334,287.3159484863281,206.6334228515625,224.25796508789062
37,AM1574,AM1574.jpg,1,1,3.3364893e-06,3.3833333333333333,M,-434.3197881049936,,-424.4226084841853,328.6982727050781,218.0690460205078,255.86334228515625
38,AM1575,AM1575.jpg,1,1,0.35465866,4.183333333333334,M,-429.1103793321202,,-421.55187608057344,318.8476257324219,275.28204345703125,276.38690185546875
39,AM1576,AM1576.jpg,1,1,0.08418023,4.316666666666666,M,-440.29566142049464,,-440.83444274007616,344.5409851074219,290.0914611816406,298.4937438964844
40,AM1577,AM1577.jpg,1,1,0.024366936,2.65,M,-515.1307179916676,,-514.3644903379901,392.4243469238281,347.2899475097656,353.5128173828125
41,AM1578,AM1578.jpg,1,1,0.30653918,3.466666666666667,M,-436.7465892484011,,-423.01708563775117,302.887451171875,242.80889892578125,251.03030395507812
42,AM1579,AM1579.jpg,1,1,0.3828571,4.283333333333333,M,-423.39436257993384,,-416.3600512536055,231.50775146484375,210.35826110839844,191.28762817382812
43,AM158,AM158.jpg,0,1,0.9314681,2.583333333333333,M,-424.44899878144287,,-422.39002796390076,216.37213134765625,253.71682739257812,207.99586486816406
44,AM1580,AM1580.jpg,0,1,0.9364745,4.05,M,-423.7824299036937,,-423.139582841887,234.3259735107422,258.004150390625,220.01162719726562
45,AM1581,AM1581.jpg,0,1,0.93511873,4.416666666666667,M,-443.1682138818458,,-447.6429851620002,277.571044921875,276.8237609863281,253.98080444335938
46,AM1582,AM1582.jpg,1,1,0.13678591,3.6666666666666665,M,-408.76590410740516,,-401.21678877079887,252.43495178222656,211.67733764648438,204.7756805419922
47,AM1583,AM1583.jpg,1,1,0.114753686,1.35,M,-432.0290287902472,,-429.1284712417647,322.8482360839844,256.6123352050781,269.64453125
48,AM1584,AM1584.jpg,0,1,0.54648054,2.333333333333333,M,-460.2144855064113,,-458.13536845023856,325.2721862792969,321.1933898925781,303.5643310546875
49,AM1585,AM1585.jpg,0,1,0.8715541,3.983333333333333,M,-417.4932739722717,,-416.4615069498303,260.53594970703125,284.20672607421875,248.98583984375
50,AM1586,AM1586.jpg,1,1,0.000480145,3.466666666666667,M,-464.5992295196402,,-453.9283684484904,375.9484558105469,276.0380859375,310.5396423339844
51,AM1587,AM1587.jpg,1,1,0.0011728465,4.5,M,-437.70199741515955,,-434.48359259795205,346.4368896484375,268.5734558105469,289.3835144042969
52,AM1588,AM1588.jpg,1,1,0.068419,3.9166666666666665,M,-412.9386654482264,,-405.34886148167664,224.24679565429688,160.6885528564453,160.3790283203125
53,AM1589,AM1589.jpg,1,1,0.0006347401,2.6666666666666665,M,-454.1813614176989,,-442.72250429815114,410.7007751464844,305.2070007324219,344.3558349609375
54,AM159,AM159.jpg,1,1,0.46372095,2.1333333333333333,M,-415.5918957013072,,-407.0550934226137,318.6643981933594,223.3856964111328,251.77731323242188
55,AM1590,AM1590.jpg,1,1,0.003709275,3.9166666666666665,M,-429.31092698324784,,-417.9350254348865,354.87408447265625,265.151611328125,292.896240234375
56,AM1591,AM1591.jpg,1,1,0.39450237,4.35,M,-418.6264577603156,,-408.35507838986143,291.8224792480469,249.37814331054688,247.67445373535156
57,AM1592,AM1592.jpg,1,1,0.1211729,3.8,M,-449.84102611120875,,-454.79764804212095,349.86566162109375,312.2860107421875,312.4611511230469
58,AM1593,AM1593.jpg,1,1,2.8966658e-06,3.433333333333333,M,-435.1661134897506,,-423.4278515715693,372.6888732910156,250.77976989746094,297.5928039550781
59,AM1594,AM1594.jpg,1,1,0.017102646,3.5,M,-418.3210080896399,,-408.2821828270798,344.90032958984375,281.14398193359375,294.3922424316406
60,AM1595,AM1595.jpg,1,1,0.06092019,3.933333333333333,M,-418.34589097825045,,-407.9339008236587,299.6005859375,220.7462158203125,238.5632781982422
61,AM1596,AM1596.jpg,1,1,0.08725819,3.933333333333333,M,-422.8581770988015,,-420.46397115941477,265.6192626953125,226.7306365966797,220.5626983642578
62,AF473,AF473.jpg,1,0,0.21041746,2.65,F,-400.7871055487639,-400.97957291282313,,189.9940643310547,188.48731994628906,153.23294067382812
63,AF474,AF474.jpg,0,0,0.99505544,2.183333333333333,F,-426.7331838109428,-426.60196693731484,,277.8182373046875,331.0624694824219,284.7110595703125
64,AF475,AF475.jpg,0,0,0.99435234,1.85,F,-438.96625148325506,-434.561826394716,,279.642578125,357.9671936035156,301.39337158203125
65,AF476,AF476.jpg,0,0,0.9997516,3.966666666666667,F,-430.08595384413405,-425.1428982585077,,214.27532958984375,314.1876525878906,244.91143798828125
66,AF477,AF477.jpg,0,0,0.9999335,3.25,F,-419.73878474277933,-413.94584568791134,,246.8794403076172,347.4159240722656,280.1631164550781
67,AF478,AF478.jpg,0,0,0.9999716,2.933333333333333,F,-418.94759005329297,-414.78736288392173,,248.3682861328125,387.85968017578125,306.1513671875
68,AF479,AF479.jpg,0,0,0.99889475,2.55,F,-431.0349853327346,-427.0111327618752,,282.0541076660156,371.93841552734375,310.82806396484375
69,AF48,AF48.jpg,0,0,0.9980819,2.3,F,-407.03384319913846,-406.53556332018877,,206.257568359375,262.97705078125,208.60797119140625
70,AF480,AF480.jpg,0,0,0.99861574,3.1166666666666667,F,-483.34139145431635,-467.72405365098706,,355.3423767089844,449.2882385253906,389.5276184082031
71,AF481,AF481.jpg,0,0,0.99993706,2.283333333333333,F,-414.6676684191481,-411.3984682222971,,205.06402587890625,320.94293212890625,245.34776306152344
72,AF482,AF482.jpg,0,0,0.99949145,2.7333333333333334,F,-420.5096178255709,-415.89146568700204,,263.9649963378906,350.9505310058594,289.9820861816406
73,AF483,AF483.jpg,0,0,0.9984274,2.7666666666666666,F,-408.6365666133689,-407.99647650487634,,212.8209686279297,312.4049377441406,243.1306915283203
74,AF484,AF484.jpg,0,0,0.9990702,3.6166666666666663,F,-439.74761503527543,-433.4069262655819,,277.593017578125,380.57843017578125,314.0328674316406
75,AF485,AF485.jpg,0,0,0.99990463,2.55,F,-412.7036943017617,-408.83170362674775,,210.29249572753906,318.3468933105469,245.86898803710938
76,AF486,AF486.jpg,0,0,0.9991978,2.4166666666666665,F,-415.59603372960294,-415.6181847652754,,238.02491760253906,334.6521911621094,268.31268310546875
77,AF487,AF487.jpg,0,0,0.99978596,2.583333333333333,F,-464.99132541628387,-454.36993705560906,,272.2552185058594,399.8193359375,323.5072021484375
78,AF488,AF488.jpg,0,0,0.89023,3.3,F,-418.49226341416033,-419.74756613481225,,206.9805450439453,232.11302185058594,189.80625915527344
79,AF489,AF489.jpg,0,0,0.99956244,2.3,F,-430.9086106782316,-427.0890298497515,,267.13763427734375,347.4112243652344,289.3030700683594
80,AF49,AF49.jpg,0,0,0.9952852,2.1333333333333333,F,-410.71177736312796,-408.7787038794685,,213.84617614746094,271.2011413574219,217.503662109375
81,AF490,AF490.jpg,0,0,0.9959007,2.3,F,-418.67882280899624,-411.4657157009067,,271.760009765625,357.5528259277344,297.5171813964844
82,AM86,AM86.jpg,1,1,0.016304428,3.2666666666666666,M,-435.39953657377697,,-429.45727063463045,323.1737060546875,221.037353515625,253.60816955566406
83,AM860,AM860.jpg,1,1,0.0035704311,2.833333333333333,M,-408.51977058373075,,-407.5191651315719,257.2728576660156,216.01388549804688,209.98423767089844
84,AM861,AM861.jpg,1,1,3.2448097e-05,2.6,M,-445.8603801453209,,-438.7527770887356,347.6383972167969,240.49777221679688,277.5131530761719
85,AM862,AM862.jpg,1,1,0.11087101,2.4833333333333334,M,-428.44625221818205,,-421.0296547454182,248.1123504638672,201.522216796875,196.85830688476562
86,AM863,AM863.jpg,0,1,0.9810846,3.533333333333333,M,-409.42462293297945,,-402.69428432276686,193.04800415039062,191.59144592285156,157.01953125
87,AM864,AM864.jpg,1,1,0.0030908275,2.85,M,-406.7242793534337,,-395.259276642886,234.4228973388672,161.85049438476562,168.05523681640625
88,AM865,AM865.jpg,1,1,0.009279079,2.716666666666667,M,-411.4528190206031,,-398.5532739177199,308.6219482421875,193.4277801513672,232.37606811523438
89,AM866,AM866.jpg,1,1,0.0007213768,2.95,M,-419.77801918398427,,-406.8072880767593,361.2422180175781,229.72645568847656,281.6075744628906
90,AM867,AM867.jpg,0,1,0.6370491,3.5166666666666666,M,-430.55820033908424,,-425.598025787446,274.2936096191406,251.0023956298828,238.3009033203125
91,AM868,AM868.jpg,1,1,0.20730127,1.8166666666666669,M,-433.3019498164002,,-426.77617392505726,349.3003234863281,307.87005615234375,309.9436340332031
92,AM869,AM869.jpg,1,1,0.13179521,2.15,M,-429.4760383452564,,-422.4107568128895,277.07330322265625,239.0206298828125,233.7048797607422
93,AM87,AM87.jpg,1,1,0.14315803,3.633333333333333,M,-434.3081386085651,,-428.68455869540645,321.5831604003906,267.1151123046875,273.9540710449219
94,AM870,AM870.jpg,1,1,0.11883453,1.6,M,-414.06123108504147,,-404.394629327389,300.91302490234375,210.07614135742188,234.53793334960938
95,AM871,AM871.jpg,1,1,2.2288228e-05,2.3,M,-421.76412627571636,,-412.3798558658366,325.47161865234375,177.9429931640625,237.6246337890625
96,AM872,AM872.jpg,1,1,0.005062032,2.1,M,-448.6447792579952,,-441.57149362862174,385.8314514160156,318.56085205078125,335.9184265136719
97,AM873,AM873.jpg,1,1,0.00046235253,2.35,M,-425.06973802547634,,-413.5358850246032,280.5433654785156,173.7236328125,205.20713806152344
98,AM874,AM874.jpg,1,1,5.1036066e-05,2.3,M,-413.33536241323355,,-401.58964951222913,324.3991394042969,188.96946716308594,241.12208557128906
99,AM875,AM875.jpg,1,1,0.14533867,2.9166666666666665,M,-410.3738330263971,,-403.77955534925746,245.99337768554688,196.3758087158203,192.8881378173828
100,AM876,AM876.jpg,0,1,0.996789,2.65,M,-422.0357118256475,,-417.85123301501125,232.70791625976562,251.93829345703125,215.59375
101,CF667,CF667.jpg,0,0,0.96559095,3.95,F,-504.0844100451373,-492.3002314945103,,441.98846435546875,504.37353515625,461.0216064453125
102,CF668,CF668.jpg,0,0,0.99964535,4.6,F,-575.3676490626633,-556.5105682613261,,500.81561279296875,570.143310546875,524.9833984375
103,CF669,CF669.jpg,0,0,0.99999297,4.15,F,-568.5101230465282,-559.1182628807146,,511.294189453125,555.0393676757812,521.931884765625
104,CF67,CF67.jpg,1,0,0.06513428,2.716666666666667,F,-487.70210145159945,-484.8638491744623,,465.9669189453125,443.0127868652344,440.8633117675781
105,CF670,CF670.jpg,0,0,0.9999765,4.516666666666667,F,-598.4136727057426,-601.0031719714543,,449.0199890136719,524.6818237304688,475.52362060546875
106,CF671,CF671.jpg,0,0,0.9999949,3.8,F,-507.24550295539586,-490.91039538035807,,395.99688720703125,477.61737060546875,424.42156982421875
107,CF672,CF672.jpg,0,0,0.99887234,3.25,F,-553.3626839545175,-557.0374886457832,,438.7400817871094,440.17120361328125,425.1934814453125
108,CF673,CF673.jpg,0,0,0.9993426,4.183333333333334,F,-493.18057300605824,-490.5063625032746,,378.03314208984375,430.31414794921875,389.49627685546875
109,CF674,CF674.jpg,0,0,0.99970955,3.966666666666667,F,-471.6814415767933,-477.63637523739396,,343.0872497558594,367.2117004394531,337.5564880371094
110,CF675,CF675.jpg,0,0,0.99999726,3.95,F,-514.1076521009511,-501.12076554626276,,384.6250305175781,460.0574035644531,409.22161865234375
111,CF676,CF676.jpg,0,0,0.999984,3.4833333333333334,F,-692.4409889043518,-673.8824060202144,,601.106689453125,645.5121459960938,613.73876953125
112,CF677,CF677.jpg,0,0,0.9999918,3.8666666666666663,F,-486.5648471804284,-478.7903592661589,,324.37939453125,419.8150634765625,358.3309326171875
113,CF678,CF678.jpg,0,0,0.9998802,3.9,F,-564.6226967959446,-552.2509628776795,,509.8200378417969,585.9855346679688,537.8805541992188
114,CF679,CF679.jpg,0,0,0.9999174,3.933333333333333,F,-484.23477718859016,-477.1094473372566,,387.50274658203125,487.326904296875,426.0172119140625
115,CF68,CF68.jpg,0,0,0.97498125,3.6,F,-457.14348264016223,-453.6032373478055,,462.8937683105469,502.73004150390625,470.2890319824219
116,CF680,CF680.jpg,0,0,0.9999143,3.9166666666666665,F,-511.8456941258866,-512.9107916313382,,442.15264892578125,497.3436584472656,457.2663879394531
117,CF681,CF681.jpg,0,0,1.0,3.683333333333333,F,-484.70122227211726,-480.2300664701237,,362.0125427246094,496.896728515625,420.29443359375
118,CF682,CF682.jpg,0,0,0.99996257,4.283333333333333,F,-469.6234648752401,-467.9525582383856,,405.1878967285156,483.2073669433594,431.85760498046875
119,CF683,CF683.jpg,0,0,0.9982091,4.183333333333334,F,-510.0986712265302,-500.3310739202603,,423.99871826171875,503.0455627441406,451.7550048828125
120,CF684,CF684.jpg,0,0,0.99999344,3.566666666666667,F,-501.2779900540793,-492.4283275541462,,387.8300476074219,426.16796875,392.024658203125
121,CF685,CF685.jpg,0,0,0.99999523,3.466666666666667,F,-634.1490220947121,-619.9043184041998,,558.4107666015625,652.906005859375,597.26220703125
122,CF686,CF686.jpg,0,0,0.9997043,4.116666666666666,F,-521.984784775984,-509.848176783754,,459.2603454589844,528.9883422851562,482.7442932128906
123,CF687,CF687.jpg,0,0,0.99992514,4.166666666666667,F,-489.18597739025034,-477.2140756695609,,416.8480529785156,509.1134033203125,451.8263854980469
124,CF688,CF688.jpg,0,0,0.99999917,3.6,F,-533.407120255376,-540.7075693948087,,415.56292724609375,478.8563232421875,434.3565979003906
125,CF689,CF689.jpg,0,0,0.98907554,4.483333333333333,F,-527.138131200111,-524.1211016748734,,526.1342163085938,512.5606689453125,507.381103515625
126,CF69,CF69.jpg,0,0,0.99998415,3.0,F,-593.1624769669727,-585.7146213985521,,501.45257568359375,537.7079467773438,507.8975830078125
127,CF690,CF690.jpg,0,0,0.9857364,3.716666666666667,F,-510.3219936839339,-507.8427702395471,,425.43719482421875,463.5369567871094,430.8124694824219
128,CF691,CF691.jpg,0,0,0.9999994,3.45,F,-561.2935504219962,-547.7158249447479,,447.5141906738281,517.1864013671875,470.6836242675781
129,CF692,CF692.jpg,0,0,0.9999844,4.316666666666666,F,-531.2234092836907,-531.1020955593606,,462.55804443359375,534.61669921875,487.3963317871094
130,CF693,CF693.jpg,0,0,0.997825,3.983333333333333,F,-543.7241161461687,-550.4642746728316,,426.3974304199219,415.3249816894531,405.98345947265625
131,CF694,CF694.jpg,0,0,0.99999356,3.4833333333333334,F,-511.3565910362776,-498.3548726458715,,407.3726501464844,522.5231323242188,455.14739990234375
132,AF1026,AF1026.jpg,0,0,0.9496672,3.65,F,-411.74161298820064,-409.0895060820509,,204.14703369140625,251.9268341064453,200.59735107421875
133,AF1045,AF1045.jpg,0,0,0.99998903,3.816666666666667,F,-414.76247061442615,-412.97678903571153,,210.4312286376953,297.5824890136719,232.56402587890625
134,AF1062,AF1062.jpg,0,0,0.9967732,4.183333333333334,F,-427.9354641380646,-425.3502696449387,,250.9180908203125,292.2725524902344,248.71527099609375
135,AF1098,AF1098.jpg,1,0,0.10730565,1.55,F,-409.407982268368,-413.1354342834865,,280.5137634277344,223.3656463623047,227.94256591796875
136,AF1125,AF1125.jpg,0,0,0.9987962,2.75,F,-418.52413787716756,-414.74119956217646,,223.47708129882812,328.4948425292969,258.0565185546875
137,AF115,AF115.jpg,0,0,0.99906236,2.95,F,-426.5901968867799,-421.6472758870216,,280.1234130859375,388.8995361328125,320.1932373046875
138,AF1173,AF1173.jpg,0,0,0.99969864,2.216666666666667,F,-413.96677120045746,-412.75535066125303,,165.25335693359375,250.2991180419922,180.68446350097656
139,AF1192,AF1192.jpg,0,0,0.99993455,2.9833333333333334,F,-403.87140897734974,-401.39550639614214,,137.43385314941406,255.8528594970703,172.7486572265625
140,AF121,AF121.jpg,0,0,0.9950747,2.3833333333333333,F,-413.4066314469879,-413.56512971313384,,218.61338806152344,278.7127380371094,224.50840759277344
141,AF1241,AF1241.jpg,0,0,0.9998405,3.933333333333333,F,-406.3512419943053,-402.6968441757805,,168.9188995361328,220.42031860351562,161.94772338867188
142,AF126,AF126.jpg,0,0,0.9993011,2.75,F,-442.02194180745727,-437.2768046391879,,238.61241149902344,336.5177917480469,269.7364807128906
143,AF128,AF128.jpg,0,0,0.98179364,2.8666666666666667,F,-436.60585765772964,-446.89826463628344,,367.6592712402344,418.43310546875,377.88555908203125
144,AF1306,AF1306.jpg,0,0,0.99800617,2.033333333333333,F,-424.63541949846456,-419.00859568054364,,216.72525024414062,287.4492492675781,229.05496215820312
145,AF1329,AF1329.jpg,0,0,0.999995,3.4166666666666665,F,-449.6685172498362,-445.3874706723863,,294.637451171875,427.04248046875,349.65118408203125
146,AF1354,AF1354.jpg,0,0,0.9979919,3.283333333333333,F,-476.30849890946075,-472.7771471631731,,404.59808349609375,482.4336853027344,431.1480712890625
147,AF1381,AF1381.jpg,0,0,0.9999894,3.633333333333333,F,-421.18262765125775,-419.5382194007196,,244.52499389648438,387.23895263671875,304.2054138183594
148,AF1413,AF1413.jpg,0,0,0.98676515,3.3666666666666667,F,-425.28936008876093,-423.81740903713467,,190.70335388183594,225.31874084472656,176.7366943359375
149,AF144,AF144.jpg,0,0,0.9866013,2.0166666666666666,F,-429.324169432354,-425.67968277471186,,260.30810546875,332.7676696777344,277.33563232421875
150,AF1463,AF1463.jpg,0,0,0.9998833,2.933333333333333,F,-445.88184974700135,-441.7592681326103,,306.0997009277344,403.7016906738281,340.5932312011719
151,AF1483,AF1483.jpg,0,0,0.99957603,2.5166666666666666,F,-408.422683814032,-407.7580336229407,,195.2810516357422,239.37948608398438,188.11253356933594
152,AF1503,AF1503.jpg,0,0,0.9906194,2.9166666666666665,F,-447.2449755519199,-444.311243309268,,364.42401123046875,425.7211608886719,380.3805847167969
153,AF1521,AF1521.jpg,0,0,0.9973792,3.65,F,-428.3027527027403,-424.0474181566669,,220.80677795410156,304.7984619140625,241.8606719970703
154,AF1546,AF1546.jpg,0,0,0.9120738,3.966666666666667,F,-423.30308383032315,-419.5156204925645,,255.13412475585938,323.3447265625,269.24029541015625
155,AF1570,AF1570.jpg,0,0,0.9997197,2.5,F,-454.86102676352533,-450.65616677071955,,261.97454833984375,362.5429992675781,296.14483642578125
156,AF1603,AF1603.jpg,0,0,0.9999759,3.95,F,-412.0425166641754,-408.21538110183394,,189.61647033691406,286.1365661621094,215.8285675048828
157,AF995,AF995.jpg,0,0,0.99929357,3.0166666666666666,F,-419.7625171247139,-414.14460066082864,,250.78065490722656,351.2422180175781,284.2511901855469
158,AF996,AF996.jpg,0,0,0.99999356,3.3666666666666667,F,-416.8425510129841,-412.5655580385128,,248.03675842285156,366.8149719238281,292.7549133300781
159,AF997,AF997.jpg,0,0,0.9994823,3.733333333333333,F,-433.61866885897166,-431.187800861878,,220.13648986816406,286.397216796875,230.02053833007812
160,AF998,AF998.jpg,0,0,0.9999808,3.35,F,-531.328259254263,-526.6008193161238,,371.4936218261719,492.7666931152344,421.99639892578125
161,AF999,AF999.jpg,0,0,0.96190435,3.5,F,-500.01651131897734,-515.8080526385174,,365.1439208984375,372.681884765625,351.8218688964844
162,AM1,AM1.jpg,1,1,0.25773802,3.95,M,-435.79100900011906,,-425.1286009146843,341.0812683105469,307.8787536621094,305.33685302734375
163,AM10,AM10.jpg,0,1,0.99684626,1.1666666666666667,M,-490.40777019618935,,-502.9652961495003,374.05242919921875,404.2861328125,373.29473876953125
164,AM100,AM100.jpg,1,1,0.001820944,2.0166666666666666,M,-413.2571097193767,,-406.3438448963542,261.4095458984375,185.788330078125,197.72164916992188
165,AM1000,AM1000.jpg,1,1,0.16011404,2.7666666666666666,M,-445.1556858376103,,-441.35088836363826,366.5545654296875,296.3989562988281,314.2849426269531
166,AM1001,AM1001.jpg,0,1,0.941856,2.3,M,-404.61200615470744,,-396.6835298823315,201.46612548828125,182.1027069091797,156.6611785888672
167,AM1002,AM1002.jpg,1,1,0.022420006,1.9166666666666667,M,-432.4238303388862,,-422.3470464834802,317.3620300292969,266.8385925292969,271.34564208984375
168,AM1003,AM1003.jpg,1,1,0.012027591,2.466666666666667,M,-432.096839730769,,-424.95302861311245,316.2138977050781,233.49435424804688,254.8002166748047
169,AM1004,AM1004.jpg,1,1,0.0022521461,2.3,M,-452.7897874473929,,-447.8722442298749,375.15972900390625,287.8283996582031,315.37713623046875
170,AM1005,AM1005.jpg,1,1,0.16385822,2.45,M,-407.9176060346859,,-398.0917867225613,288.01751708984375,215.6017303466797,228.88169860839844
171,AM1006,AM1006.jpg,1,1,0.0024818282,2.2333333333333334,M,-419.02963030116086,,-410.3194003027877,305.7151794433594,236.90634155273438,249.92181396484375
172,AM1007,AM1007.jpg,1,1,0.00077578716,2.316666666666667,M,-436.0518477801603,,-427.9186012002848,335.67718505859375,278.4195251464844,287.6908264160156
173,AM1008,AM1008.jpg,1,1,0.0073012225,2.4833333333333334,M,-430.85909877007794,,-428.68864376502006,349.31549072265625,277.0545654296875,295.055908203125
174,AM1009,AM1009.jpg,1,1,0.00040881816,2.716666666666667,M,-432.2297831359543,,-419.3590039854813,399.52386474609375,288.9222412109375,330.4775695800781
175,AM101,AM101.jpg,1,1,0.24664666,3.4833333333333334,M,-410.8829607687714,,-405.1675114114883,209.8831024169922,187.67721557617188,165.24085998535156
176,AM1010,AM1010.jpg,1,1,0.06492401,2.25,M,-412.93942837572945,,-400.8203430134856,342.119140625,287.8428955078125,296.00213623046875
177,AM1011,AM1011.jpg,1,1,0.00024051832,2.75,M,-433.3761214829079,,-416.79643096559835,322.8890686035156,236.27647399902344,260.2108154296875
178,AM1012,AM1012.jpg,1,1,0.21906883,2.066666666666667,M,-481.96327742673964,,-482.3105292969479,414.1839294433594,366.8665466308594,375.1498718261719
179,AM1013,AM1013.jpg,1,1,0.043812167,2.7666666666666666,M,-423.3858404380264,,-412.8381153834965,305.8162536621094,244.30062866210938,253.51710510253906
180,AM1014,AM1014.jpg,1,1,0.020817783,1.8666666666666667,M,-442.3397994861198,,-439.8228692339326,379.7615051269531,301.1337890625,324.21893310546875
